name,a_proj_mo_ls,a_proj_ls_earn,a_purc_price,a_proj_ls_main_cost,a_profit,primary_genre,content_rating
Bitauto Autoprice,132,"$330,000.00 ","$10,000.00 ","$42,000.00 ","$278,000.00 ",Utilities,17+
Meitu,132,"$330,000.00 ","$10,000.00 ","$42,000.00 ","$278,000.00 ",Photo & Video,4+
"Zappos: shop shoes & clothes, fast free shipping",132,"$330,000.00 ","$10,000.00 ","$42,000.00 ","$278,000.00 ",Shopping,4+
Infinity Blade,132,"$330,000.00 ","$10,000.00 ","$42,000.00 ","$278,000.00 ",Games,12+
Dungeon Raid,132,"$330,000.00 ","$10,000.00 ","$42,000.00 ","$278,000.00 ",Games,9+
The Guardian,132,"$330,000.00 ","$10,000.00 ","$42,000.00 ","$278,000.00 ",News,12+
Plants vs. Zombies,132,"$330,000.00 ","$10,000.00 ","$42,000.00 ","$278,000.00 ",Games,9+
Plants vs. Zombies HD,132,"$330,000.00 ","$10,000.00 ","$42,000.00 ","$278,000.00 ",Games,9+
Flashlight â“„,132,"$330,000.00 ","$10,000.00 ","$42,000.00 ","$278,000.00 ",Utilities,4+
Domino's Pizza USA,132,"$330,000.00 ","$10,000.00 ","$42,000.00 ","$278,000.00 ",Food & Drink,4+
