app_name,proj_lifespan,total_earn,total_purch_price,profit
PewDiePie's Tuber Simulator,132,"$4,680,000.00 ","$20,000.00 ","$4,702,000.00 "
Fernanfloo,132,"$4,650,000.00 ","$20,000.00 ","$4,670,800.00 "
H*nest Meditation,132,"$4,650,000.00 ","$39,800.00 ","$4,651,600.00 "
Domino's Pizza USA,132,"$4,320,000.00 ","$20,000.00 ","$4,342,000.00 "
The Guardian,132,"$4,320,000.00 ","$20,000.00 ","$4,342,000.00 "
ASOS,132,"$4,320,000.00 ","$20,000.00 ","$4,342,000.00 "
"Egg, Inc.",132,"$4,320,000.00 ","$20,000.00 ","$4,342,000.00 "
Geometry Dash Lite,132,"$4,320,000.00 ","$20,000.00 ","$4,342,000.00 "
Cytus,132,"$4,320,000.00 ","$29,900.00 ","$4,332,100.00 "
Toy Blast,120,"$4,290,000.00 ","$20,000.00 ","$4,310,200.00 "
Zombie Catchers,120,"$4,290,000.00 ","$20,000.00 ","$4,310,200.00 "
Narcos: Cartel Wars,120,"$4,290,000.00 ","$20,000.00 ","$4,310,200.00 "
Solitaire,120,"$4,290,000.00 ","$20,000.00 ","$4,310,200.00 "
Bible,120,"$4,290,000.00 ","$20,000.00 ","$4,310,200.00 "
Animal Jam - Play Wild!,120,"$4,290,000.00 ","$20,000.00 ","$4,309,600.00 "
